"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccdc109b.3",1.11495775188726e-31,-0.651158645415393,0.074,0.389,3.12165871373396e-27,"pDC","Ccdc109b"
"Tubb6",1.19146343464449e-31,-0.679899701992533,0.153,0.474,3.33585932431763e-27,"pDC","Tubb6"
"Adam8.5",2.73483513689684e-31,-0.81084862355636,0.065,0.374,7.65699141628376e-27,"pDC","Adam8"
"Tmed2.1",6.33182028189389e-31,0.514907949373569,0.874,0.693,1.77278304252465e-26,"pDC","Tmed2"
"Rpl36a.4",7.38625093493164e-31,0.411998438705079,0.994,0.971,2.06800253676216e-26,"pDC","Rpl36a"
"F11r.1",8.43470255899306e-31,-0.733844059741822,0.085,0.392,2.36154802246688e-26,"pDC","F11r"
"Marcksl1.4",8.77809566684727e-31,-1.43671677089264,0.579,0.773,2.4576912248039e-26,"pDC","Marcksl1"
"Cirbp",9.90198359691507e-31,0.542360771559684,0.618,0.362,2.77235736746428e-26,"pDC","Cirbp"
"Sec11c.2",1.01705754386326e-30,0.538436102989644,0.868,0.668,2.84755771130837e-26,"pDC","Sec11c"
"Txndc17.4",1.0787586232941e-30,-1.13465520083887,0.653,0.813,3.02030839349882e-26,"pDC","Txndc17"
"Klf6.5",1.18158201095567e-30,-1.0877999760146,0.638,0.839,3.30819331427369e-26,"pDC","Klf6"
"Rnf13.1",1.21929086826129e-30,0.529649970973409,0.585,0.331,3.41377057295796e-26,"pDC","Rnf13"
"Epha2",1.23354485148066e-30,0.263325796240395,0.2,0.055,3.45367887517555e-26,"pDC","Epha2"
"Dhrs7",1.24791290898958e-30,0.420134508336265,0.426,0.195,3.49390656258902e-26,"pDC","Dhrs7"
"H2-Ab1.4",1.40977280168137e-30,-0.558985526208843,1,1,3.94708189014751e-26,"pDC","H2-Ab1"
"Tnip3.4",1.58877638579391e-30,-0.843410845470562,0.191,0.508,4.44825612494579e-26,"pDC","Tnip3"
"Msrb1.4",1.69659210109872e-30,-1.06405304551717,0.409,0.67,4.7501185646562e-26,"pDC","Msrb1"
"Tmem106c",1.77850916288208e-30,0.254132762667908,0.197,0.055,4.97946995423724e-26,"pDC","Tmem106c"
"Prcp",1.85064287834087e-30,0.508721388193425,0.853,0.679,5.18142993077877e-26,"pDC","Prcp"
"Cdc42se2",1.94624945251842e-30,0.551069557527279,0.618,0.37,5.44910921716106e-26,"pDC","Cdc42se2"
"mt-Nd2.4",2.00105101634636e-30,0.475609050211352,0.976,0.819,5.60254263556655e-26,"pDC","mt-Nd2"
"Npm1.4",2.04513181949318e-30,0.501380142634894,0.965,0.898,5.72596006821701e-26,"pDC","Npm1"
"Rasal3",2.46448912203897e-30,0.312181899539044,0.232,0.072,6.9000766438847e-26,"pDC","Rasal3"
"Spi1.2",2.53072248808653e-30,-0.632729190160156,0.835,0.899,7.08551682214468e-26,"pDC","Spi1"
"Cotl1.3",2.7384159690345e-30,-0.806316416614094,0.771,0.846,7.66701703010279e-26,"pDC","Cotl1"
"Got1.2",2.81696460388014e-30,-0.845895225875284,0.344,0.597,7.88693749794362e-26,"pDC","Got1"
"Rab24.2",3.04822620524331e-30,0.487466456690432,0.591,0.34,8.53442372944021e-26,"pDC","Rab24"
"Pde7a",3.49091122143482e-30,0.254220970805382,0.215,0.062,9.7738532377732e-26,"pDC","Pde7a"
"Rala.4",3.7101598706176e-30,-0.686069880523576,0.579,0.768,1.03877056057552e-25,"pDC","Rala"
"Rplp0.4",3.83513789700569e-30,0.35710623883277,1,0.995,1.07376190840365e-25,"pDC","Rplp0"
"S100a4.5",3.86675911932825e-30,-1.36997581800085,0.765,0.825,1.08261521822952e-25,"pDC","S100a4"
"Scimp.3",4.42828879975659e-30,0.485220866101557,0.768,0.476,1.23983229815585e-25,"pDC","Scimp"
"Tgm2.4",4.81751441619762e-30,-1.03267380014689,0.174,0.477,1.34880768624701e-25,"pDC","Tgm2"
"Arhgap31.4",5.59943525041263e-30,-0.95500642373989,0.053,0.349,1.56772988141053e-25,"pDC","Arhgap31"
"Senp6",5.79676741061821e-30,0.441891954836997,0.479,0.235,1.62297893962489e-25,"pDC","Senp6"
